season_year,match_id,match_date,opponent_name,stat1,stat2,stat3,stat4
2021,M012021,8/20/2021,Charlotte,14,1,6,0
2021,M022021,8/27/2021,UMBC,17,4,7,3
2021,M032021,9/3/2021,George Mason,12,2,4,0
2021,M042021,9/10/2021,Virginia,18,2,3,1
2021,M052021,9/17/2021,Georgetown,8,0,21,1
2021,M062021,9/24/2021,Michigan,16,2,6,1
2021,M072021,10/1/2021,High Point,14,2,5,0
2021,M082021,10/8/2021,Ohio St.,13,2,12,1
2021,M092021,10/15/2021,Rutgers,14,0,9,0
2021,M102021,10/22/2021,Wisconsin,7,0,11,1
2021,M112021,10/29/2021,Northwestern,26,3,4,1
2021,M122021,11/5/2021,Delaware,17,1,4,0
2021,M132021,11/12/2021,Pacific,14,3,5,0
2021,M142021,11/19/2021,Michigan St.,10,3,14,1
2021,M152021,11/26/2021,Penn St.,11,2,20,3
2021,M162021,12/3/2021,Indiana,17,2,9,0
2021,M172021,12/10/2021,Northwestern,20,0,8,0
2021,M182021,12/17/2021,LIU,8,0,5,1
2022,M012022,8/25/2022,New Hampshire,9,2,9,1
2022,M022022,8/28/2022,Liberty,16,1,2,1
2022,M032022,9/2/2022,Denver,10,0,9,2
2022,M042022,9/5/2022,Virginia,15,6,14,1
2022,M052022,9/10/2022,Georgetown,14,2,18,1
2022,M062022,9/16/2022,Michigan,15,2,15,1
2022,M072022,9/20/2022,Penn St.,19,3,8,3
2022,M082022,9/25/2022,Ohio St.,5,1,9,0
2022,M092022,9/30/2022,Old Dominion,12,1,8,0
2022,M102022,10/4/2022,Rutgers,7,3,13,2
2022,M112022,10/9/2022,Northwestern,15,1,8,1
2022,M122022,10/14/2022,Wisconsin,17,2,6,2
2022,M132022,10/17/2022,High Point,10,1,5,2
2022,M142022,10/21/2022,Michigan St.,13,1,0,0
2022,M152022,10/25/2022,Delaware,10,4,5,1
2022,M162022,10/30/2022,Indiana,12,1,6,1
2022,M172022,11/4/2022,Northwestern,13,1,5,0
2022,M182022,11/9/2022,Indiana,9,1,5,2
2022,M192022,11/17/2022,Fairleigh Dickinson,12,5,9,2
2022,M202022,11/20/2022,Cornell,5,1,11,2
2023,M012023,8/24/2023,Missouri St.,2,0,6,1
2023,M022023,8/27/2023,UNC Greensboro,11,2,9,0
2023,M032023,9/1/2023,Wake Forest,10,0,7,0
2023,M042023,9/4/2023,Virginia,13,1,16,2
2023,M052023,9/14/2023,Michigan,15,2,6,2
2023,M062023,9/19/2023,Penn St.,9,0,10,1
2023,M072023,9/24/2023,Wisconsin,5,0,9,1
2023,M082023,9/29/2023,Northwestern,15,0,10,2
2023,M092023,10/3/2023,Rutgers,20,1,7,2
2023,M102023,10/7/2023,Bowling Green,8,1,7,0
2023,M112023,10/10/2023,Villanova,29,6,13,4
2023,M122023,10/15/2023,Michigan St.,10,2,15,2
2023,M132023,10/20/2023,Indiana,9,1,5,2
2023,M142023,10/24/2023,Navy,11,3,9,0
2023,M152023,10/29/2023,Ohio St.,5,1,17,4
